"measure","vintage_new","delta_aeo.1","delta_steo_measure.1","delta_aeo.2","delta_steo_measure.2","delta_aeo.3","delta_steo_measure.3","delta_aeo.4","delta_steo_measure.4","delta_aeo.5","delta_steo_measure.5","delta_aeo.6","delta_steo_measure.6","delta_aeo.7","delta_steo_measure.7","delta_aeo.8","delta_steo_measure.8","delta_aeo.9","delta_steo_measure.9","delta_aeo.10","delta_steo_measure.10","delta_aeo.11","delta_steo_measure.11","delta_aeo.12","delta_steo_measure.12","delta_aeo.13","delta_steo_measure.13","delta_aeo.14","delta_steo_measure.14","delta_aeo.15","delta_steo_measure.15","delta_aeo.16","delta_steo_measure.16","delta_aeo.17","delta_steo_measure.17","delta_aeo.18","delta_steo_measure.18","delta_aeo.19","delta_steo_measure.19","delta_aeo.20","delta_steo_measure.20","delta_aeo.21","delta_steo_measure.21","delta_aeo.22","delta_steo_measure.22","delta_aeo.23","delta_steo_measure.23","delta_aeo.24","delta_steo_measure.24","delta_aeo.25","delta_steo_measure.25"
"delta_steo_curr",2018,-6.82184600000001,7.8783333333333,0.251495000000006,7.8783333333333,3.75426499999999,7.8783333333333,3.926895,7.8783333333333,4.069137,7.8783333333333,4.428856,7.8783333333333,4.582069,7.8783333333333,3.973564,7.8783333333333,2.72708200000001,7.8783333333333,2.943856,7.8783333333333,4.004685,7.8783333333333,3.54827899999999,7.8783333333333,3.120881,7.8783333333333,1.44078099999999,7.8783333333333,-0.250580000000014,7.8783333333333,2.202485,7.8783333333333,1.78041100000002,7.8783333333333,2.08209199999999,7.8783333333333,2.309235,7.8783333333333,4.087616,7.8783333333333,4.588776,7.8783333333333,4.642608,7.8783333333333,5.76792899999998,7.8783333333333,6.42309599999999,7.8783333333333,8.15373300000002,7.8783333333333
"delta_steo_curr",2019,18.300156,-1.3891666666666,5.366692,-1.3891666666666,-2.623741,-1.3891666666666,-4.169792,-1.3891666666666,-3.508888,-1.3891666666666,-2.69653299999999,-1.3891666666666,-0.492774999999995,-1.3891666666666,0.556015000000002,-1.3891666666666,1.50089999999999,-1.3891666666666,1.856216,-1.3891666666666,2.25546300000001,-1.3891666666666,3.16336800000001,-1.3891666666666,2.54299900000001,-1.3891666666666,3.27517700000001,-1.3891666666666,3.351395,-1.3891666666666,2.951232,-1.3891666666666,3.058075,-1.3891666666666,4.02259799999999,-1.3891666666666,1.710373,-1.3891666666666,1.27264399999999,-1.3891666666666,1.00697300000002,-1.3891666666666,0.116501,-1.3891666666666,-0.863571000000007,-1.3891666666666,-1.04385400000001,-1.3891666666666,-1.67807100000002,-1.3891666666666
"delta_steo_curr",2020,-12.458916,0.186666666666603,-11.607514,0.186666666666603,-10.463509,0.186666666666603,-11.043007,0.186666666666603,-13.000603,0.186666666666603,-14.197632,0.186666666666603,-16.776977,0.186666666666603,-18.358039,0.186666666666603,-19.111977,0.186666666666603,-20.387932,0.186666666666603,-20.989144,0.186666666666603,-21.908676,0.186666666666603,-21.886696,0.186666666666603,-22.489365,0.186666666666603,-22.871689,0.186666666666603,-22.977745,0.186666666666603,-23.325668,0.186666666666603,-23.258575,0.186666666666603,-22.926849,0.186666666666603,-22.766464,0.186666666666603,-22.679779,0.186666666666603,-20.87439,0.186666666666603,-20.341705,0.186666666666603,-19.21431,0.186666666666603,-17.743698,0.186666666666603
"delta_steo_curr",2021,-13.745533,-7.99,-12.008323,-7.99,-10.548797,-7.99,-9.789063,-7.99,-8.64328,-7.99,-8.13337,-7.99,-6.918297,-7.99,-6.49128,-7.99,-5.868866,-7.99,-5.29743900000001,-7.99,-4.69853999999999,-7.99,-4.790474,-7.99,-5.78162399999999,-7.99,-6.68852200000001,-7.99,-6.969627,-7.99,-7.22777500000001,-7.99,-7.234947,-7.99,-9.40867600000001,-7.99,-8.30403200000001,-7.99,-8.33320700000002,-7.99,-9.09585600000003,-7.99,-10.253433,-7.99,-10.813294,-7.99,-14.471649,-7.99,-13.793304,-7.99
"delta_steo_curr",2022,12.175301,29.7283333333334,13.17765,29.7283333333334,11.612625,29.7283333333334,10.917984,29.7283333333334,10.029587,29.7283333333334,9.539055,29.7283333333334,7.78437799999999,29.7283333333334,7.04454000000001,29.7283333333334,6.27552799999999,29.7283333333334,5.622871,29.7283333333334,4.050911,29.7283333333334,3.406098,29.7283333333334,2.76544199999999,29.7283333333334,3.270897,29.7283333333334,2.83120699999999,29.7283333333334,2.180931,29.7283333333334,0.558745999999999,29.7283333333334,2.99089000000001,29.7283333333334,0.705338000000012,29.7283333333334,-0.992614000000003,29.7283333333334,-0.0126339999999914,29.7283333333334,0.213332999999977,29.7283333333334,-0.766281000000021,29.7283333333334,2.24479700000001,29.7283333333334,-0.723144999999988,29.7283333333334
"delta_steo_curr",2023,35.588772,0.660833333333301,24.848137,0.660833333333301,24.752884,0.660833333333301,23.766403,0.660833333333301,22.633812,0.660833333333301,21.79361,0.660833333333301,22.097984,0.660833333333301,21.573258,0.660833333333301,21.207802,0.660833333333301,21.004555,0.660833333333301,21.490509,0.660833333333301,22.320572,0.660833333333301,22.752823,0.660833333333301,22.650184,0.660833333333301,22.52227,0.660833333333301,22.333885,0.660833333333301,23.195488,0.660833333333301,21.905213,0.660833333333301,21.761245,0.660833333333301,22.379348,0.660833333333301,21.419006,0.660833333333301,19.801667,0.660833333333301,20.976456,0.660833333333301,20.169632,0.660833333333301,21.153,0.660833333333301
"delta_steo_next",2016,-25,-25,-21.531295,-25,-7.58322200000001,-25,-1.994186,-25,2.030304,-25,4.10539999999999,-25,4.61296800000001,-25,4.46807100000001,-25,4.80503,-25,5.91314,-25,6.198013,-25,5.89076200000001,-25,6.52342200000001,-25,5.60633799999999,-25,6.616852,-25,7.554123,-25,8.54487700000001,-25,9.78333999999998,-25,9.36674500000001,-25,10.68927,-25,9.62110899999999,-25,11.015457,-25,10.402405,-25,11.028961,-25,NA,NA
"delta_steo_next",2017,15.670471,7.1666666666667,14.395523,7.1666666666667,5.51739500000001,7.1666666666667,2.23101799999999,7.1666666666667,-0.0990139999999968,7.1666666666667,-2.38752,7.1666666666667,-3.53443100000001,7.1666666666667,-2.730767,7.1666666666667,-2.56822200000001,7.1666666666667,-4.23498600000001,7.1666666666667,-6.407921,7.1666666666667,-7.23687000000001,7.1666666666667,-7.74525500000001,7.1666666666667,-7.06552099999999,7.1666666666667,-7.99345399999999,7.1666666666667,-12.906586,7.1666666666667,-15.797883,7.1666666666667,-20.875717,7.1666666666667,-21.006974,7.1666666666667,-26.866455,7.1666666666667,-29.686768,7.1666666666667,-34.022796,7.1666666666667,-38.25322,7.1666666666667,-45.155014,7.1666666666667,NA,NA
"delta_steo_next",2018,-6.82184600000001,4.3333333333333,0.251495000000006,4.3333333333333,3.75426499999999,4.3333333333333,3.926895,4.3333333333333,4.069137,4.3333333333333,4.428856,4.3333333333333,4.582069,4.3333333333333,3.973564,4.3333333333333,2.72708200000001,4.3333333333333,2.943856,4.3333333333333,4.004685,4.3333333333333,3.54827899999999,4.3333333333333,3.120881,4.3333333333333,1.44078099999999,4.3333333333333,-0.250580000000014,4.3333333333333,2.202485,4.3333333333333,1.78041100000002,4.3333333333333,2.08209199999999,4.3333333333333,2.309235,4.3333333333333,4.087616,4.3333333333333,4.588776,4.3333333333333,4.642608,4.3333333333333,5.76792899999998,4.3333333333333,6.42309599999999,4.3333333333333,8.15373300000002,4.3333333333333
"delta_steo_next",2019,18.300156,0.5,5.366692,0.5,-2.623741,0.5,-4.169792,0.5,-3.508888,0.5,-2.69653299999999,0.5,-0.492774999999995,0.5,0.556015000000002,0.5,1.50089999999999,0.5,1.856216,0.5,2.25546300000001,0.5,3.16336800000001,0.5,2.54299900000001,0.5,3.27517700000001,0.5,3.351395,0.5,2.951232,0.5,3.058075,0.5,4.02259799999999,0.5,1.710373,0.5,1.27264399999999,0.5,1.00697300000002,0.5,0.116501,0.5,-0.863571000000007,0.5,-1.04385400000001,0.5,-1.67807100000002,0.5
